Index,Alphabet,Link,ScrapeStatus
484,a,https://www.hindigeetmala.net/singer/amar_shaikh.php,Done
486,a,https://www.hindigeetmala.net/singer/amey_date.php,Done
488,a,https://www.hindigeetmala.net/singer/ameya_date.php,Done
490,a,https://www.hindigeetmala.net/singer/amir_jamal.php,Done
492,a,https://www.hindigeetmala.net/singer/amjad.php,Done
494,a,https://www.hindigeetmala.net/singer/amjad_nadeem.php,Done
496,a,https://www.hindigeetmala.net/singer/amruta_talukder.php,Done
498,a,https://www.hindigeetmala.net/singer/anant_marathe.php,Done
500,a,https://www.hindigeetmala.net/singer/ananya_bhat.php,Done
502,a,https://www.hindigeetmala.net/singer/ani_choying_drolma.php,Done
504,a,https://www.hindigeetmala.net/singer/anika_rizvi.php,Done
506,a,https://www.hindigeetmala.net/singer/anil_kapoor.php,Done
508,a,https://www.hindigeetmala.net/singer/anjali_devi.php,Done
510,a,https://www.hindigeetmala.net/singer/ankit_tandon.php,Done
512,a,https://www.hindigeetmala.net/singer/ann_mitchai.php,Done
514,a,https://www.hindigeetmala.net/singer/antra_chowdhury.php,Done
516,a,https://www.hindigeetmala.net/singer/anuj_garg.php,Done
518,a,https://www.hindigeetmala.net/singer/anurag_maurya.php,Done
520,a,https://www.hindigeetmala.net/singer/aparna_jha.php,Done
522,a,https://www.hindigeetmala.net/singer/arghya_banerjee.php,Done
524,a,https://www.hindigeetmala.net/singer/arjun_chabara.php,Done
526,a,https://www.hindigeetmala.net/singer/arpana_shulka.php,Done
528,b,https://www.hindigeetmala.net/singer/bhupinder_singh.php,Done
530,b,https://www.hindigeetmala.net/singer/bappi_lahiri.php,Done
532,b,https://www.hindigeetmala.net/singer/babul_supriyo.php,Done
534,b,https://www.hindigeetmala.net/singer/baba_sehgal.php,Done
536,b,https://www.hindigeetmala.net/singer/benny_dayal.php,Done
538,b,https://www.hindigeetmala.net/singer/binapani_mukherjee.php,Done
540,b,https://www.hindigeetmala.net/singer/bali_brahmbhatt.php,Done
542,b,https://www.hindigeetmala.net/singer/bhupen_hazarika.php,Done
544,b,https://www.hindigeetmala.net/singer/balbir.php,Done
546,b,https://www.hindigeetmala.net/singer/bulo_c_rani.php,Done
548,b,https://www.hindigeetmala.net/singer/bela_sulakhe.php,Done
550,b,https://www.hindigeetmala.net/singer/blaaze.php,Done
552,b,https://www.hindigeetmala.net/singer/begum_akhtar.php,Done
554,b,https://www.hindigeetmala.net/singer/bela_shende.php,Done
556,b,https://www.hindigeetmala.net/singer/badshah.php,Done
558,b,https://www.hindigeetmala.net/singer/brijesh_shandilya.php,Done
